"item","date","amount","apartment name","note"
"home center","43076.0","153.0","ALL",""
"stimatski","43076.0","58.0","ALL",""
"ikea","43082.0","3320.0","ALL",""
"max","43084.0","47.7","ALL",""
"max","43087.0","50.0","ALL",""
"wine","43098.0","85.0","ALL",""
"max","43098.0","27.5","ALL",""
"Refreshments","43098.0","172.5","ALL",""
"cleaning","43101.0","87.0","ALL",""
"cleaning","43101.0","34.9","ALL",""
"super farm","43102.0","45.8","ALL",""
"post office","43108.0","48.5","ALL",""
"cleaning","43109.0","443.87","ALL",""
"window fix","43110.0","520.0","red",""
"laundry","43110.0","126.0","ALL",""
"max","43111.0","105.0","ALL",""
"my-art ","43111.0","20.7","ALL",""
"wine","43111.0","220.82","ALL",""
"home center","43122.0","49.8","ALL",""
"max","43125.0","105.6","ALL",""
"fox","43125.0","249.4","ALL",""
"golf","43125.0","108.5","ALL","decoration and smell"
"carpet","43125.0","80.0","ALL","carpet"
"home styling","43128.0","300.0","ALL",""
"my-art ","43137.0","124.8","ALL",""
"Keys","43147.0","200.0","ALL",""
"hanger","43168.0","100.0","green",""
"dyson vacuum cleaner","43168.0","2600.0","ALL",""
"hair dryer","43180.0","150.0","ALL",""
"clean curtains","43184.0","300.0","yellow",""
"werubel optic","43199.0","150.0","All",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","13961.99","",""
